Feeder,Phases,Yearly_Type,Yearly_Number,Count_of_Load_Name,REAL_LOAD_COUNT,Parquet_Name
rhs0_1247--rdt1527,1,res,40,2,1,res_40.parquet
rhs0_1247--rdt1527,1,res,46,18,9,res_46.parquet
rhs0_1247--rdt1527,1,res,63,4,2,res_63.parquet
rhs0_1247--rdt1527,1,res,75,18,9,res_75.parquet
rhs0_1247--rdt1527,1,res,93,14,7,res_93.parquet
rhs0_1247--rdt1527,1,res,97,8,4,res_97.parquet
rhs0_1247--rdt1527,1,res,101,2,1,res_101.parquet
rhs0_1247--rdt1527,1,res,121,2,1,res_121.parquet
rhs0_1247--rdt1527,1,res,128,10,5,res_128.parquet
rhs0_1247--rdt1527,1,res,134,6,3,res_134.parquet
rhs0_1247--rdt1527,1,res,137,2,1,res_137.parquet
rhs0_1247--rdt1527,1,res,141,22,11,res_141.parquet
rhs0_1247--rdt1527,1,res,158,2,1,res_158.parquet
rhs0_1247--rdt1527,1,res,162,10,5,res_162.parquet
rhs0_1247--rdt1527,1,res,169,4,2,res_169.parquet
rhs0_1247--rdt1527,1,res,170,2,1,res_170.parquet
rhs0_1247--rdt1527,1,res,182,10,5,res_182.parquet
rhs0_1247--rdt1527,1,res,184,6,3,res_184.parquet
rhs0_1247--rdt1527,1,res,188,4,2,res_188.parquet
rhs0_1247--rdt1527,1,res,195,8,4,res_195.parquet
rhs0_1247--rdt1527,1,res,197,4,2,res_197.parquet
rhs0_1247--rdt1527,1,res,198,2,1,res_198.parquet
rhs0_1247--rdt1527,1,res,199,8,4,res_199.parquet
rhs0_1247--rdt1527,1,res,203,50,25,res_203.parquet
rhs0_1247--rdt1527,1,res,205,8,4,res_205.parquet
rhs0_1247--rdt1527,1,res,206,4,2,res_206.parquet
rhs0_1247--rdt1527,1,res,211,2,1,res_211.parquet
rhs0_1247--rdt1527,1,res,224,8,4,res_224.parquet
rhs0_1247--rdt1527,1,res,225,6,3,res_225.parquet
rhs0_1247--rdt1527,1,res,227,2,1,res_227.parquet
rhs0_1247--rdt1527,1,res,229,10,5,res_229.parquet
rhs0_1247--rdt1527,1,res,236,6,3,res_236.parquet
rhs0_1247--rdt1527,1,res,240,2,1,res_240.parquet
rhs0_1247--rdt1527,1,res,245,4,2,res_245.parquet
rhs0_1247--rdt1527,1,res,250,18,9,res_250.parquet
rhs0_1247--rdt1527,1,res,251,2,1,res_251.parquet
rhs0_1247--rdt1527,1,res,259,2,1,res_259.parquet
rhs0_1247--rdt1527,1,res,261,2,1,res_261.parquet
rhs0_1247--rdt1527,1,res,263,28,14,res_263.parquet
rhs0_1247--rdt1527,1,res,267,64,32,res_267.parquet
rhs0_1247--rdt1527,1,res,278,8,4,res_278.parquet
rhs0_1247--rdt1527,1,res,280,22,11,res_280.parquet
rhs0_1247--rdt1527,1,res,282,6,3,res_282.parquet
rhs0_1247--rdt1527,1,res,314,6,3,res_314.parquet
rhs0_1247--rdt1527,1,res,316,8,4,res_316.parquet
rhs0_1247--rdt1527,1,res,317,10,5,res_317.parquet
rhs0_1247--rdt1527,1,res,319,4,2,res_319.parquet
rhs0_1247--rdt1527,1,res,324,22,11,res_324.parquet
rhs0_1247--rdt1527,1,res,334,2,1,res_334.parquet
rhs0_1247--rdt1527,1,res,340,2,1,res_340.parquet
rhs0_1247--rdt1527,1,res,354,2,1,res_354.parquet
rhs0_1247--rdt1527,1,res,362,4,2,res_362.parquet
rhs0_1247--rdt1527,1,res,363,2,1,res_363.parquet
rhs0_1247--rdt1527,1,res,366,130,65,res_366.parquet
rhs0_1247--rdt1527,1,res,371,4,2,res_371.parquet
rhs0_1247--rdt1527,1,res,375,2,1,res_375.parquet
rhs0_1247--rdt1527,1,res,396,2,1,res_396.parquet
rhs0_1247--rdt1527,1,res,401,2,1,res_401.parquet
rhs0_1247--rdt1527,1,res,402,2,1,res_402.parquet
rhs0_1247--rdt1527,1,res,409,14,7,res_409.parquet
rhs0_1247--rdt1527,1,res,411,4,2,res_411.parquet
rhs0_1247--rdt1527,1,res,416,4,2,res_416.parquet
rhs0_1247--rdt1527,1,res,421,16,8,res_421.parquet
rhs0_1247--rdt1527,1,res,436,2,1,res_436.parquet
rhs0_1247--rdt1527,1,res,438,2,1,res_438.parquet
rhs0_1247--rdt1527,1,res,450,6,3,res_450.parquet
rhs0_1247--rdt1527,1,res,452,12,6,res_452.parquet
rhs0_1247--rdt1527,1,res,453,4,2,res_453.parquet
rhs0_1247--rdt1527,1,res,454,98,49,res_454.parquet
rhs0_1247--rdt1527,1,res,457,4,2,res_457.parquet
rhs0_1247--rdt1527,1,res,462,4,2,res_462.parquet
rhs0_1247--rdt1527,1,res,464,4,2,res_464.parquet
rhs0_1247--rdt1527,1,res,469,2,1,res_469.parquet
rhs0_1247--rdt1527,1,res,470,8,4,res_470.parquet
rhs0_1247--rdt1527,1,res,502,2,1,res_502.parquet
rhs0_1247--rdt1527,1,res,504,6,3,res_504.parquet
rhs0_1247--rdt1527,1,res,512,6,3,res_512.parquet
rhs0_1247--rdt1527,1,res,514,4,2,res_514.parquet
rhs0_1247--rdt1527,1,res,517,98,49,res_517.parquet
rhs0_1247--rdt1527,1,res,523,34,17,res_523.parquet
rhs0_1247--rdt1527,1,res,532,18,9,res_532.parquet
rhs0_1247--rdt1527,1,res,549,30,15,res_549.parquet
rhs0_1247--rdt1527,1,res,560,2,1,res_560.parquet
rhs0_1247--rdt1527,1,res,561,4,2,res_561.parquet
rhs0_1247--rdt1527,1,res,595,4,2,res_595.parquet
rhs0_1247--rdt1527,1,res,597,2,1,res_597.parquet
rhs0_1247--rdt1527,1,res,611,16,8,res_611.parquet
rhs0_1247--rdt1527,1,res,616,2,1,res_616.parquet
rhs0_1247--rdt1527,1,res,621,4,2,res_621.parquet
rhs0_1247--rdt1527,1,res,624,6,3,res_624.parquet
rhs0_1247--rdt1527,1,res,626,10,5,res_626.parquet
rhs0_1247--rdt1527,1,res,627,18,9,res_627.parquet
rhs0_1247--rdt1527,1,res,645,4,2,res_645.parquet
rhs0_1247--rdt1527,1,res,658,4,2,res_658.parquet
rhs0_1247--rdt1527,1,res,664,2,1,res_664.parquet
rhs0_1247--rdt1527,1,res,670,32,16,res_670.parquet
rhs0_1247--rdt1527,1,res,681,2,1,res_681.parquet
rhs0_1247--rdt1527,1,res,689,6,3,res_689.parquet
rhs0_1247--rdt1527,1,res,691,2,1,res_691.parquet
rhs0_1247--rdt1527,1,res,693,2,1,res_693.parquet
rhs0_1247--rdt1527,1,res,695,4,2,res_695.parquet
rhs0_1247--rdt1527,1,res,704,2,1,res_704.parquet
rhs0_1247--rdt1527,1,res,707,2,1,res_707.parquet
rhs0_1247--rdt1527,1,res,708,2,1,res_708.parquet
rhs0_1247--rdt1527,1,res,710,6,3,res_710.parquet
rhs0_1247--rdt1527,1,res,732,2,1,res_732.parquet
rhs0_1247--rdt1527,1,res,740,2,1,res_740.parquet
rhs0_1247--rdt1527,1,res,752,22,11,res_752.parquet
rhs0_1247--rdt1527,1,res,754,6,3,res_754.parquet
rhs0_1247--rdt1527,1,res,779,2,1,res_779.parquet
rhs0_1247--rdt1527,1,res,780,2,1,res_780.parquet
rhs0_1247--rdt1527,1,res,807,6,3,res_807.parquet
rhs0_1247--rdt1527,1,res,822,10,5,res_822.parquet
rhs0_1247--rdt1527,1,res,825,22,11,res_825.parquet
rhs0_1247--rdt1527,1,res,842,42,21,res_842.parquet
rhs0_1247--rdt1527,1,res,843,8,4,res_843.parquet
rhs0_1247--rdt1527,1,res,850,2,1,res_850.parquet
rhs0_1247--rdt1527,1,res,852,2,1,res_852.parquet
rhs0_1247--rdt1527,1,res,859,2,1,res_859.parquet
rhs0_1247--rdt1527,1,res,861,16,8,res_861.parquet
rhs0_1247--rdt1527,1,res,863,8,4,res_863.parquet
rhs0_1247--rdt1527,1,res,879,2,1,res_879.parquet
rhs0_1247--rdt1527,1,res,887,2,1,res_887.parquet
rhs0_1247--rdt1527,1,res,898,34,17,res_898.parquet
rhs0_1247--rdt1527,1,res,908,6,3,res_908.parquet
rhs0_1247--rdt1527,1,res,917,4,2,res_917.parquet
rhs0_1247--rdt1527,1,res,928,8,4,res_928.parquet
rhs0_1247--rdt1527,1,res,929,4,2,res_929.parquet
rhs0_1247--rdt1527,1,res,931,6,3,res_931.parquet
rhs0_1247--rdt1527,1,res,933,6,3,res_933.parquet
rhs0_1247--rdt1527,1,res,963,2,1,res_963.parquet
rhs0_1247--rdt1527,1,res,968,10,5,res_968.parquet
rhs0_1247--rdt1527,1,res,977,2,1,res_977.parquet
rhs0_1247--rdt1527,1,res,985,4,2,res_985.parquet
rhs0_1247--rdt1527,1,res,995,2,1,res_995.parquet
rhs0_1247--rdt1527,1,res,1003,2,1,res_1003.parquet
rhs0_1247--rdt1527,1,res,1013,6,3,res_1013.parquet
rhs0_1247--rdt1527,1,res,1036,26,13,res_1036.parquet
rhs0_1247--rdt1527,1,res,1037,18,9,res_1037.parquet
rhs0_1247--rdt1527,1,res,1041,14,7,res_1041.parquet
rhs0_1247--rdt1527,1,res,1042,10,5,res_1042.parquet
rhs0_1247--rdt1527,1,res,1054,2,1,res_1054.parquet
rhs0_1247--rdt1527,1,res,1067,2,1,res_1067.parquet
rhs0_1247--rdt1527,1,res,1070,28,14,res_1070.parquet
rhs0_1247--rdt1527,1,res,1075,2,1,res_1075.parquet
rhs0_1247--rdt1527,1,res,1094,20,10,res_1094.parquet
rhs0_1247--rdt1527,1,res,1105,4,2,res_1105.parquet
rhs0_1247--rdt1527,1,res,1108,4,2,res_1108.parquet
rhs0_1247--rdt1527,1,res,1112,2,1,res_1112.parquet
rhs0_1247--rdt1527,1,res,1115,2,1,res_1115.parquet
rhs0_1247--rdt1527,1,res,1137,2,1,res_1137.parquet
rhs0_1247--rdt1527,1,res,1138,2,1,res_1138.parquet
rhs0_1247--rdt1527,1,res,1157,26,13,res_1157.parquet
rhs0_1247--rdt1527,1,res,1159,4,2,res_1159.parquet
rhs0_1247--rdt1527,1,res,1160,10,5,res_1160.parquet
rhs0_1247--rdt1527,1,res,1162,6,3,res_1162.parquet
rhs0_1247--rdt1527,1,res,1186,20,10,res_1186.parquet
rhs0_1247--rdt1527,1,res,1187,6,3,res_1187.parquet
rhs0_1247--rdt1527,1,res,1190,8,4,res_1190.parquet
rhs0_1247--rdt1527,1,res,1193,2,1,res_1193.parquet
rhs0_1247--rdt1527,1,res,1205,112,56,res_1205.parquet
rhs0_1247--rdt1527,1,res,1207,2,1,res_1207.parquet
rhs0_1247--rdt1527,1,res,1209,2,1,res_1209.parquet
rhs0_1247--rdt1527,1,res,1215,2,1,res_1215.parquet
rhs0_1247--rdt1527,1,res,1220,2,1,res_1220.parquet
rhs0_1247--rdt1527,1,res,1223,10,5,res_1223.parquet
rhs0_1247--rdt1527,1,res,1226,6,3,res_1226.parquet
rhs0_1247--rdt1527,1,res,1228,18,9,res_1228.parquet
rhs0_1247--rdt1527,1,res,1239,2,1,res_1239.parquet
rhs0_1247--rdt1527,1,res,1246,20,10,res_1246.parquet
rhs0_1247--rdt1527,1,res,1248,8,4,res_1248.parquet
rhs0_1247--rdt1527,1,res,1249,2,1,res_1249.parquet
rhs0_1247--rdt1527,1,res,1258,48,24,res_1258.parquet
rhs0_1247--rdt1527,1,res,1267,60,30,res_1267.parquet
rhs0_1247--rdt1527,1,res,1273,8,4,res_1273.parquet
rhs0_1247--rdt1527,1,res,1276,8,4,res_1276.parquet
rhs0_1247--rdt1527,1,res,1283,2,1,res_1283.parquet
rhs0_1247--rdt1527,3,com,13354,1,1,com_13354.parquet
rhs0_1247--rdt1527,3,com,13420,1,1,com_13420.parquet
rhs0_1247--rdt1527,3,com,13513,1,1,com_13513.parquet
rhs0_1247--rdt1527,3,com,13682,2,2,com_13682.parquet
rhs0_1247--rdt1527,3,com,14013,1,1,com_14013.parquet
rhs0_1247--rdt1527,3,com,14360,1,1,com_14360.parquet
rhs0_1247--rdt1527,3,com,14369,1,1,com_14369.parquet
rhs0_1247--rdt1527,3,com,14536,1,1,com_14536.parquet
rhs0_1247--rdt1527,3,com,14619,3,3,com_14619.parquet
rhs0_1247--rdt1527,3,com,14809,2,2,com_14809.parquet
rhs0_1247--rdt1527,3,com,14828,1,1,com_14828.parquet
rhs0_1247--rdt1527,3,com,14919,1,1,com_14919.parquet
rhs0_1247--rdt1534,1,com,12824,6,3,com_12824.parquet
rhs0_1247--rdt1534,1,com,12941,4,2,com_12941.parquet
rhs0_1247--rdt1534,1,com,13018,4,2,com_13018.parquet
rhs0_1247--rdt1534,1,com,13025,2,1,com_13025.parquet
rhs0_1247--rdt1534,1,com,13109,4,2,com_13109.parquet
rhs0_1247--rdt1534,1,com,13291,2,1,com_13291.parquet
rhs0_1247--rdt1534,1,com,13515,2,1,com_13515.parquet
rhs0_1247--rdt1534,1,com,13887,2,1,com_13887.parquet
rhs0_1247--rdt1534,1,com,14056,2,1,com_14056.parquet
rhs0_1247--rdt1534,1,com,14231,8,4,com_14231.parquet
rhs0_1247--rdt1534,1,com,14257,2,1,com_14257.parquet
rhs0_1247--rdt1534,1,com,14277,2,1,com_14277.parquet
rhs0_1247--rdt1534,1,com,14650,10,5,com_14650.parquet
rhs0_1247--rdt1534,1,com,14741,2,1,com_14741.parquet
rhs0_1247--rdt1534,1,com,14872,4,2,com_14872.parquet
rhs0_1247--rdt1534,1,com,14883,2,1,com_14883.parquet
rhs0_1247--rdt1534,1,com,14989,2,1,com_14989.parquet
rhs0_1247--rdt1534,1,com,15124,2,1,com_15124.parquet
rhs0_1247--rdt1534,1,com,15157,2,1,com_15157.parquet
rhs0_1247--rdt1534,1,com,15212,2,1,com_15212.parquet
rhs0_1247--rdt1534,1,res,4,48,24,res_4.parquet
rhs0_1247--rdt1534,1,res,7,8,4,res_7.parquet
rhs0_1247--rdt1534,1,res,19,2,1,res_19.parquet
rhs0_1247--rdt1534,1,res,20,4,2,res_20.parquet
rhs0_1247--rdt1534,1,res,24,8,4,res_24.parquet
rhs0_1247--rdt1534,1,res,30,4,2,res_30.parquet
rhs0_1247--rdt1534,1,res,33,46,23,res_33.parquet
rhs0_1247--rdt1534,1,res,35,2,1,res_35.parquet
rhs0_1247--rdt1534,1,res,39,2,1,res_39.parquet
rhs0_1247--rdt1534,1,res,46,6,3,res_46.parquet
rhs0_1247--rdt1534,1,res,63,4,2,res_63.parquet
rhs0_1247--rdt1534,1,res,75,4,2,res_75.parquet
rhs0_1247--rdt1534,1,res,85,2,1,res_85.parquet
rhs0_1247--rdt1534,1,res,93,10,5,res_93.parquet
rhs0_1247--rdt1534,1,res,97,2,1,res_97.parquet
rhs0_1247--rdt1534,1,res,100,2,1,res_100.parquet
rhs0_1247--rdt1534,1,res,101,6,3,res_101.parquet
rhs0_1247--rdt1534,1,res,128,4,2,res_128.parquet
rhs0_1247--rdt1534,1,res,134,4,2,res_134.parquet
rhs0_1247--rdt1534,1,res,141,14,7,res_141.parquet
rhs0_1247--rdt1534,1,res,149,2,1,res_149.parquet
rhs0_1247--rdt1534,1,res,158,2,1,res_158.parquet
rhs0_1247--rdt1534,1,res,160,2,1,res_160.parquet
rhs0_1247--rdt1534,1,res,162,18,9,res_162.parquet
rhs0_1247--rdt1534,1,res,169,2,1,res_169.parquet
rhs0_1247--rdt1534,1,res,170,8,4,res_170.parquet
rhs0_1247--rdt1534,1,res,182,6,3,res_182.parquet
rhs0_1247--rdt1534,1,res,184,2,1,res_184.parquet
rhs0_1247--rdt1534,1,res,188,4,2,res_188.parquet
rhs0_1247--rdt1534,1,res,197,2,1,res_197.parquet
rhs0_1247--rdt1534,1,res,198,2,1,res_198.parquet
rhs0_1247--rdt1534,1,res,199,2,1,res_199.parquet
rhs0_1247--rdt1534,1,res,203,16,8,res_203.parquet
rhs0_1247--rdt1534,1,res,205,12,6,res_205.parquet
rhs0_1247--rdt1534,1,res,206,2,1,res_206.parquet
rhs0_1247--rdt1534,1,res,207,4,2,res_207.parquet
rhs0_1247--rdt1534,1,res,225,2,1,res_225.parquet
rhs0_1247--rdt1534,1,res,229,2,1,res_229.parquet
rhs0_1247--rdt1534,1,res,236,8,4,res_236.parquet
rhs0_1247--rdt1534,1,res,240,2,1,res_240.parquet
rhs0_1247--rdt1534,1,res,245,2,1,res_245.parquet
rhs0_1247--rdt1534,1,res,250,18,9,res_250.parquet
rhs0_1247--rdt1534,1,res,251,4,2,res_251.parquet
rhs0_1247--rdt1534,1,res,263,22,11,res_263.parquet
rhs0_1247--rdt1534,1,res,267,18,9,res_267.parquet
rhs0_1247--rdt1534,1,res,278,8,4,res_278.parquet
rhs0_1247--rdt1534,1,res,280,18,9,res_280.parquet
rhs0_1247--rdt1534,1,res,282,10,5,res_282.parquet
rhs0_1247--rdt1534,1,res,298,2,1,res_298.parquet
rhs0_1247--rdt1534,1,res,305,4,2,res_305.parquet
rhs0_1247--rdt1534,1,res,314,8,4,res_314.parquet
rhs0_1247--rdt1534,1,res,319,2,1,res_319.parquet
rhs0_1247--rdt1534,1,res,324,12,6,res_324.parquet
rhs0_1247--rdt1534,1,res,339,2,1,res_339.parquet
rhs0_1247--rdt1534,1,res,344,2,1,res_344.parquet
rhs0_1247--rdt1534,1,res,362,2,1,res_362.parquet
rhs0_1247--rdt1534,1,res,366,86,43,res_366.parquet
rhs0_1247--rdt1534,1,res,394,2,1,res_394.parquet
rhs0_1247--rdt1534,1,res,406,2,1,res_406.parquet
rhs0_1247--rdt1534,1,res,407,2,1,res_407.parquet
rhs0_1247--rdt1534,1,res,409,6,3,res_409.parquet
rhs0_1247--rdt1534,1,res,411,6,3,res_411.parquet
rhs0_1247--rdt1534,1,res,421,4,2,res_421.parquet
rhs0_1247--rdt1534,1,res,436,2,1,res_436.parquet
rhs0_1247--rdt1534,1,res,452,6,3,res_452.parquet
rhs0_1247--rdt1534,1,res,453,10,5,res_453.parquet
rhs0_1247--rdt1534,1,res,454,52,26,res_454.parquet
rhs0_1247--rdt1534,1,res,455,2,1,res_455.parquet
rhs0_1247--rdt1534,1,res,461,4,2,res_461.parquet
rhs0_1247--rdt1534,1,res,462,2,1,res_462.parquet
rhs0_1247--rdt1534,1,res,464,4,2,res_464.parquet
rhs0_1247--rdt1534,1,res,470,4,2,res_470.parquet
rhs0_1247--rdt1534,1,res,504,2,1,res_504.parquet
rhs0_1247--rdt1534,1,res,512,6,3,res_512.parquet
rhs0_1247--rdt1534,1,res,517,42,21,res_517.parquet
rhs0_1247--rdt1534,1,res,523,32,16,res_523.parquet
rhs0_1247--rdt1534,1,res,532,18,9,res_532.parquet
rhs0_1247--rdt1534,1,res,549,10,5,res_549.parquet
rhs0_1247--rdt1534,1,res,561,2,1,res_561.parquet
rhs0_1247--rdt1534,1,res,564,2,1,res_564.parquet
rhs0_1247--rdt1534,1,res,593,2,1,res_593.parquet
rhs0_1247--rdt1534,1,res,611,8,4,res_611.parquet
rhs0_1247--rdt1534,1,res,618,2,1,res_618.parquet
rhs0_1247--rdt1534,1,res,624,8,4,res_624.parquet
rhs0_1247--rdt1534,1,res,626,8,4,res_626.parquet
rhs0_1247--rdt1534,1,res,627,16,8,res_627.parquet
rhs0_1247--rdt1534,1,res,628,4,2,res_628.parquet
rhs0_1247--rdt1534,1,res,645,2,1,res_645.parquet
rhs0_1247--rdt1534,1,res,651,2,1,res_651.parquet
rhs0_1247--rdt1534,1,res,658,2,1,res_658.parquet
rhs0_1247--rdt1534,1,res,663,2,1,res_663.parquet
rhs0_1247--rdt1534,1,res,670,24,12,res_670.parquet
rhs0_1247--rdt1534,1,res,689,4,2,res_689.parquet
rhs0_1247--rdt1534,1,res,695,2,1,res_695.parquet
rhs0_1247--rdt1534,1,res,707,2,1,res_707.parquet
rhs0_1247--rdt1534,1,res,708,2,1,res_708.parquet
rhs0_1247--rdt1534,1,res,709,2,1,res_709.parquet
rhs0_1247--rdt1534,1,res,715,2,1,res_715.parquet
rhs0_1247--rdt1534,1,res,752,8,4,res_752.parquet
rhs0_1247--rdt1534,1,res,754,6,3,res_754.parquet
rhs0_1247--rdt1534,1,res,806,2,1,res_806.parquet
rhs0_1247--rdt1534,1,res,807,8,4,res_807.parquet
rhs0_1247--rdt1534,1,res,822,12,6,res_822.parquet
rhs0_1247--rdt1534,1,res,825,10,5,res_825.parquet
rhs0_1247--rdt1534,1,res,842,34,17,res_842.parquet
rhs0_1247--rdt1534,1,res,843,18,9,res_843.parquet
rhs0_1247--rdt1534,1,res,850,2,1,res_850.parquet
rhs0_1247--rdt1534,1,res,852,4,2,res_852.parquet
rhs0_1247--rdt1534,1,res,859,4,2,res_859.parquet
rhs0_1247--rdt1534,1,res,861,2,1,res_861.parquet
rhs0_1247--rdt1534,1,res,863,6,3,res_863.parquet
rhs0_1247--rdt1534,1,res,879,2,1,res_879.parquet
rhs0_1247--rdt1534,1,res,887,2,1,res_887.parquet
rhs0_1247--rdt1534,1,res,892,2,1,res_892.parquet
rhs0_1247--rdt1534,1,res,898,14,7,res_898.parquet
rhs0_1247--rdt1534,1,res,899,2,1,res_899.parquet
rhs0_1247--rdt1534,1,res,906,4,2,res_906.parquet
rhs0_1247--rdt1534,1,res,908,2,1,res_908.parquet
rhs0_1247--rdt1534,1,res,917,2,1,res_917.parquet
rhs0_1247--rdt1534,1,res,929,2,1,res_929.parquet
rhs0_1247--rdt1534,1,res,931,2,1,res_931.parquet
rhs0_1247--rdt1534,1,res,932,2,1,res_932.parquet
rhs0_1247--rdt1534,1,res,944,2,1,res_944.parquet
rhs0_1247--rdt1534,1,res,953,2,1,res_953.parquet
rhs0_1247--rdt1534,1,res,968,2,1,res_968.parquet
rhs0_1247--rdt1534,1,res,985,16,8,res_985.parquet
rhs0_1247--rdt1534,1,res,995,4,2,res_995.parquet
rhs0_1247--rdt1534,1,res,996,2,1,res_996.parquet
rhs0_1247--rdt1534,1,res,1013,2,1,res_1013.parquet
rhs0_1247--rdt1534,1,res,1036,16,8,res_1036.parquet
rhs0_1247--rdt1534,1,res,1037,22,11,res_1037.parquet
rhs0_1247--rdt1534,1,res,1041,6,3,res_1041.parquet
rhs0_1247--rdt1534,1,res,1042,6,3,res_1042.parquet
rhs0_1247--rdt1534,1,res,1067,2,1,res_1067.parquet
rhs0_1247--rdt1534,1,res,1070,20,10,res_1070.parquet
rhs0_1247--rdt1534,1,res,1080,6,3,res_1080.parquet
rhs0_1247--rdt1534,1,res,1094,12,6,res_1094.parquet
rhs0_1247--rdt1534,1,res,1105,2,1,res_1105.parquet
rhs0_1247--rdt1534,1,res,1108,4,2,res_1108.parquet
rhs0_1247--rdt1534,1,res,1113,4,2,res_1113.parquet
rhs0_1247--rdt1534,1,res,1138,12,6,res_1138.parquet
rhs0_1247--rdt1534,1,res,1157,8,4,res_1157.parquet
rhs0_1247--rdt1534,1,res,1160,12,6,res_1160.parquet
rhs0_1247--rdt1534,1,res,1162,2,1,res_1162.parquet
rhs0_1247--rdt1534,1,res,1186,2,1,res_1186.parquet
rhs0_1247--rdt1534,1,res,1187,2,1,res_1187.parquet
rhs0_1247--rdt1534,1,res,1190,2,1,res_1190.parquet
rhs0_1247--rdt1534,1,res,1205,88,44,res_1205.parquet
rhs0_1247--rdt1534,1,res,1209,2,1,res_1209.parquet
rhs0_1247--rdt1534,1,res,1220,6,3,res_1220.parquet
rhs0_1247--rdt1534,1,res,1223,8,4,res_1223.parquet
rhs0_1247--rdt1534,1,res,1224,4,2,res_1224.parquet
rhs0_1247--rdt1534,1,res,1226,4,2,res_1226.parquet
rhs0_1247--rdt1534,1,res,1228,6,3,res_1228.parquet
rhs0_1247--rdt1534,1,res,1246,10,5,res_1246.parquet
rhs0_1247--rdt1534,1,res,1248,4,2,res_1248.parquet
rhs0_1247--rdt1534,1,res,1249,4,2,res_1249.parquet
rhs0_1247--rdt1534,1,res,1250,2,1,res_1250.parquet
rhs0_1247--rdt1534,1,res,1258,32,16,res_1258.parquet
rhs0_1247--rdt1534,1,res,1267,40,20,res_1267.parquet
rhs0_1247--rdt1534,1,res,1270,2,1,res_1270.parquet
rhs0_1247--rdt1534,1,res,1273,4,2,res_1273.parquet
rhs0_1247--rdt1534,1,res,1276,6,3,res_1276.parquet
rhs0_1247--rdt1534,3,com,12884,1,1,com_12884.parquet
rhs0_1247--rdt1534,3,com,12926,1,1,com_12926.parquet
rhs0_1247--rdt1534,3,com,12975,1,1,com_12975.parquet
rhs0_1247--rdt1534,3,com,13354,2,2,com_13354.parquet
rhs0_1247--rdt1534,3,com,13576,1,1,com_13576.parquet
rhs0_1247--rdt1534,3,com,14567,2,2,com_14567.parquet
rhs0_1247--rdt1534,3,com,14574,2,2,com_14574.parquet
rhs0_1247--rdt1534,3,com,14619,1,1,com_14619.parquet
rhs0_1247--rdt1534,3,com,15271,1,1,com_15271.parquet
